datetime,Device Name,Position - Latitude,Position - Longitude,Status
2024-03-12 07:27:41,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:42,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:43,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:44,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:45,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:46,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:47,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:48,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:49,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:50,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:51,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:52,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:53,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:54,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:55,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:56,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:57,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:58,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:27:59,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:00,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:01,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:02,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:03,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:04,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:05,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:06,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:07,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:08,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:09,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:10,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:11,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:12,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:13,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:14,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:15,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:16,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:17,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:18,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:19,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:20,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:21,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:22,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:23,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:24,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:25,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:26,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:27,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:28,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:29,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:30,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:31,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:32,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:33,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:34,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:35,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:36,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:37,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:38,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:39,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:40,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:41,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:42,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:43,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:44,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:45,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:46,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:47,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:48,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:49,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:50,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:51,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:52,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:53,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:54,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:55,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:28:55,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:56,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:28:56,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:57,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:28:57,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:58,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:28:58,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:28:59,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:28:59,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:00,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:00,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:01,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:01,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:02,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:02,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:03,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:03,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:04,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:04,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:05,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:05,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:06,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:06,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:07,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:07,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:08,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:08,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:09,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:09,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:10,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:10,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:11,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:11,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:12,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:12,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:13,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:13,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:14,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:14,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:15,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:15,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:16,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:16,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:17,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:17,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:18,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:18,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:19,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:19,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:20,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:20,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:21,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:21,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:22,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:22,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:23,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:23,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:24,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:24,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:25,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:25,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:26,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:26,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:27,76D3,46.7973022,-71.3418808,OK
2024-03-12 07:29:27,C0A1,46.7973022,-71.3418808,OK
2024-03-12 07:29:28,76D3,46.7973022,-71.3418808,OK
